ProteinA	ProteinB	Detection Method	Interaction Type	Confidence
uniprotkb:P63170	uniprotkb:P05065	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P04642	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P04797	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P68136	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:Q3KRE8	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P04636	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:P63170	uniprotkb:P27139	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0914""(association)"	0.35
uniprotkb:Q39023	uniprotkb:O64903	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.63
uniprotkb:Q39026	uniprotkb:O64903	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9LDC0	uniprotkb:Q9ZR72	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.51
uniprotkb:Q9LJX0	uniprotkb:Q9LDC0	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.37
uniprotkb:Q9STP8	uniprotkb:P42736	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.54
uniprotkb:P42736	uniprotkb:Q9STP8	"psi-mi:""MI:0007""(anti tag coimmunoprecipitation)"	"psi-mi:""MI:0915""(physical association)"	0.54
uniprotkb:P31016	uniprotkb:P97836	"psi-mi:""MI:0018""(two hybrid)"	"psi-mi:""MI:0915""(physical association)"	0.84
